"1","Abdullah 'Awwad Al-Juhany","1",""
"2","Abdullah Basfar","1",""
"3","Abdullah Matroud","1",""
"4","Abu Bakr Ash-Shaatree","1",""
"5","Ahmed Ibn Ali al-Ajamy","1",""
"6","Ali Abdur-rahman al-Hudhaify","2",""
"7","Mahmoud Khalil al-Husary","3",""
"8","Hani ar-Rifai","1",""
"9","Ibrahim Akdhar","1",""
"10","Khalid Abdullah al-Qahtaanee","1",""
"11","Khalifa Al Tunaiji","1",""
"12","Maher bin Hamad Al-Mueaqly","1",""
"13","Mahmoud Ali Al Banna","1",""
"14","Muhsin Al-Qasim","1",""
"15","Mohammad al Tablaway","1",""
"16","Muhammad Abdulkareem","1",""
"17","Muhammad Ayyoub","1",""
"18","Muhammad Siddiq al-Minshawi","1",""
"19","Mustafa Ismail","1",""
"20","Nasser Alqatami","1",""
"21","Saad Al-Ghamidi","1",""
"22","Salah Abdulrahman Bukhatir","1",""
"23","Salah Al-Budair","1",""
"25","Yasser Ad-Dussary","1",""
