"1","Medium Quality","Abdullaah_3awwaad_Al-Juhaynee_128kbps"
"2","Low Quality","Abdullah_Basfar_32kbps"
"2","Medium Quality","Abdullah_Basfar_64kbps"
"2","High Quality","Abdullah_Basfar_192kbps"
"3","Medium Quality","Abdullah_Matroud_128kbps"
"4","Low Quality","Abu_Bakr_Ash-Shaatree_64kbps"
"4","Medium Quality","Abu_Bakr_Ash-Shaatree_128kbps"
"5","Low Quality","Ahmed_ibn_Ali_al-Ajamy_64kbps_QuranExplorer.Com"
"5","Medium Quality","Ahmed_ibn_Ali_al-Ajamy_128kbps_ketaballah.net"
"6","Low Quality","Hudhaify_64kbps"
"6","Medium Quality","Hudhaify_128kbps"
"7","Low Quality","Husary_64kbps"
"7","Medium Quality","Husary_128kbps"
"7","Low Quality (Mujawaad)","Husary_Mujawwad_64kbps"
"7","Medium Quality (Mujawaad)","Husary_128kbps_Mujawwad"
"8","Low Quality","Hani_Rifai_64kbps"
"8","High Quality","Hani_Rifai_192kbps"
"9","Low Quality","Ibrahim_Akhdar_32kbps"
"9","Medium Quality","Ibrahim_Akhdar_64kbps"
"10","High Quality","Khaalid_Abdullaah_al-Qahtaanee_192kbps"
"11","Low Quality","khalefa_al_tunaiji_64kbps"
"12","Low Quality","Maher_AlMuaiqly_64kbps"
"12","Medium Quality","MaherAlMuaiqly128kbps"
"13","Low Quality","mahmoud_ali_al_banna_32kbps"
"14","High Quality","Muhsin_Al_Qasim_192kbps"
"15","Low Quality","Mohammad_al_Tablaway_64kbps"
"15","Medium Quality","Mohammad_al_Tablaway_128kbps"
"16","Medium Quality","Muhammad_AbdulKareem_128kbps"
"17","Low Quality","Muhammad_Ayyoub_32kbps"
"17","Medium Quality","Muhammad_Ayyoub_64kbps"
"17","High Quality","Muhammad_Ayyoub_128kbps"
"18","Low Quality","Menshawi_16kbps"
"18","Medium Quality","Menshawi_32kbps"
"18","High Quality","Minshawy_Murattal_128kbps"
"19","Low Quality","Mustafa_Ismail_48kbps"
"20","Medium Quality","Nasser_Alqatami_128kbps"
"21","Low Quality","Ghamadi_40kbps"
"22","Medium Quality","Salaah_AbdulRahman_Bukhatir_128kbps"
"23","Low Quality","Salah_Al_Budair_128kbps"
"25","Medium Quality","Yasser_Ad-Dussary_128kbps"
